X,Y,OBJECTID,SITE_ID,LOCATION,X,Y,UGM3_2011,UGM3_2012,UGM3_2013,UGM3_2014,UGM3_2015,UGM3_2016,UGM3_2017,UGM3_2018,UGM3_2019,UGM3_2020,UGM3_2021
358628,173011,1,2,Colston Avenue,358628,173011,      78.799999999999997,      66.799999999999997,      68.700000000000003,      67.700000000000003,      69.200000000000003,,,,,,
357448,174650,2,3,Blackboy Hill,357448,174650,      36.600000000000001,      37.700000000000003,      41.200000000000003,      36.299999999999997,      37.899999999999999,,,,,,
359903,171850,3,4,Three Lamps,359903,171850,      59.799999999999997,      58.399999999999999,      60.600000000000001,      55.799999999999997,      53.299999999999997,,,,,,
358723,171704,4,5,Bedminster Parade,358723,171704,      57.200000000000003,      54.600000000000001,      58.700000000000003,      47.600000000000001,      50.899999999999999,,,,,,
361261,173413,5,6,Church Road,361261,173413,      35.200000000000003,      33.600000000000001,      33.500000000000000,      30.500000000000000,      31.300000000000001,,,,,,
351706,178250,6,7,St. Andrew's Rd,351706,178250,      27.699999999999999,      27.899999999999999,      27.699999999999999,      28.000000000000000,      26.800000000000001,,,,,,
359836,171903,7,8,Higham Street,359836,171903,      25.699999999999999,      25.600000000000001,      26.800000000000001,      22.600000000000001,      22.500000000000000,,,,,,
358729,173499,8,9,B.R.I.,358729,173499,      58.000000000000000,      52.000000000000000,      54.000000000000000,      49.299999999999997,      48.000000000000000,,,,,,
361217,171429,9,10,Bath Road,361217,171429,      62.299999999999997,      58.399999999999999,      61.500000000000000,      50.100000000000001,      49.299999999999997,,,,,,
358813,173342,10,11,Whitefriars,358813,173342,      56.100000000000001,      53.200000000000003,      56.299999999999997,      48.799999999999997,      51.399999999999999,,,,,,
359142,173211,11,12,Galleries,359142,173211,      55.200000000000003,      50.799999999999997,      56.700000000000003,      51.299999999999997,      52.500000000000000,,,,,,
354493,177489,12,13,Ferndown Close,354493,177489,      19.399999999999999,      18.100000000000001,      18.800000000000001,      16.300000000000001,      16.399999999999999,,,,,,
360871,170291,13,14,Red Lion Knowle,360871,170291,      44.100000000000001,      43.200000000000003,      42.200000000000003,      40.399999999999999,      40.100000000000001,,,,,,
359294,173485,14,15,Horsefair,359294,173485,      50.899999999999999,      49.500000000000000,      53.600000000000001,      48.600000000000001,      50.799999999999997,,,,,,
352287,178698,15,16,Third Way,352287,178698,      35.799999999999997,      36.399999999999999,      33.299999999999997,      34.600000000000001,      35.899999999999999,,,,,,
357273,174582,16,17,Anglesea Place,357273,174582,      21.000000000000000,      21.300000000000001,      25.000000000000000,      21.199999999999999,      20.000000000000000,,,,,,
360691,170081,17,18,Hillcrest,360691,170081,      20.300000000000001,      21.300000000000001,      22.300000000000001,      18.100000000000001,      17.800000000000001,,,,,,
362921,172122,18,19,Conham Vale,362921,172122,      21.500000000000000,      22.000000000000000,      27.199999999999999,      20.800000000000001,      19.699999999999999,,,,,,
359567,173630,19,20,Newfoundland Way,359567,173630,      73.200000000000003,      74.700000000000003,      64.299999999999997,      65.299999999999997,      58.700000000000003,,,,,,
359027,175300,20,21,Gloucester Road,359027,175300,      44.500000000000000,      43.100000000000001,      52.000000000000000,      50.399999999999999,      51.600000000000001,,,,,,
359109,173886,21,22,Stokes Croft,359109,173886,      58.700000000000003,      55.299999999999997,      57.700000000000003,      55.299999999999997,      49.700000000000003,,,,,,
359555,173166,22,23,Old Market,359555,173166,      52.299999999999997,      47.899999999999999,      50.600000000000001,      44.200000000000003,      45.299999999999997,,,,,,
361657,175362,23,81,Eastville Park,361657,175362,      19.199999999999999,      21.000000000000000,      18.199999999999999,      17.500000000000000,      17.899999999999999,,,,,,
357099,171627,24,99,Greville Smyth Park,357099,171627,      28.100000000000001,      30.000000000000000,      33.100000000000001,      27.199999999999999,      28.699999999999999,,,,,,
359097,171368,25,105,Victoria Park,359097,171368,      19.899999999999999,      20.399999999999999,      21.199999999999999,      17.199999999999999,      18.199999999999999,,,,,,
359258,172696,26,113,Victoria Street c,359258,172696,      55.200000000000003,      51.799999999999997,      48.399999999999999,      48.799999999999997,      47.500000000000000,,,,,,
359214,171917,27,125,York Road,359214,171917,      66.500000000000000,      63.000000000000000,      59.600000000000001,      53.299999999999997,      52.899999999999999,,,,,,
358514,172691,28,147,Anchor Road opp Swan hotel,358514,172691,      66.400000000000006,      60.600000000000001,      60.200000000000003,      57.000000000000000,      60.100000000000001,,,,,,
357601,172483,29,154,Hotwells Road,357601,172483,      40.899999999999999,      40.299999999999997,      44.299999999999997,      38.500000000000000,      37.200000000000003,,,,,,
357838,172713,30,155,Jacobs Wells road nr Hotwells rndbt,357838,172713,      52.399999999999999,      46.899999999999999,      48.500000000000000,      38.799999999999997,      39.899999999999999,,,,,,
357709,173018,31,156,Jacobs Wells road opp Clifton hill,357709,173018,      49.100000000000001,      45.799999999999997,      44.200000000000003,      38.000000000000000,      38.899999999999999,,,,,,
359119,174090,32,157,Stokes Croft  Ashley Road,359119,174090,      61.799999999999997,      55.899999999999999,      56.000000000000000,      51.399999999999999,      53.299999999999997,,,,,,
358891,174608,33,159,Cromwell Road,358891,174608,      48.899999999999999,      49.700000000000003,      49.000000000000000,      44.500000000000000,      44.100000000000001,,,,,,
359152,175733,34,161,Bishop Road,359152,175733,      47.399999999999999,      41.600000000000001,      41.799999999999997,      41.299999999999997,      43.700000000000003,,,,,,
